HouseID,Area_sqft,Bedrooms,Bathrooms,Floors,YearBuilt,HouseAge,Location,Garage,HasGarden,DistanceToCityCenter_km,SchoolRating,CrimeRate,Price
31,2399,1,2,2,1987,39,Rural,No,No,4.52,6,9.21,15288000
32,1767,1,2,2,1965,61,Waterfront,Yes,Yes,1.13,4,1.91,27818000
33,2028,4,2,3,2003,23,Uptown,Yes,No,24.84,1,4.38,25078000
34,3702,1,2,2,2003,23,Rural,Yes,No,38.45,2,3.95,24429000
35,4056,1,2,1,1980,46,Rural,No,Yes,36.16,3,4.07,24682000
36,4390,4,1,1,1987,39,Uptown,Yes,Yes,28.02,9,1.33,49972000
37,1146,6,3,2,1999,27,Waterfront,Yes,Yes,4.32,8,8.07,24647000
38,3388,6,1,1,2013,13,Downtown,Yes,No,11.33,7,0.45,49108000
39,2935,4,2,1,2013,13,Uptown,Yes,No,13.14,4,5.28,34014000
40,1100,5,4,3,1960,66,Uptown,Yes,No,30.64,1,6.59,13925000
41,2863,1,4,2,1995,31,Uptown,Yes,No,32.19,8,2.13,33253000
42,2561,1,2,2,1980,46,Rural,No,Yes,15.71,4,8.98,16531000
43,741,5,2,3,2019,7,Suburb,Yes,Yes,17.01,3,8.32,10335000
44,2541,6,4,1,2002,24,Downtown,Yes,No,2.26,9,4.72,38555000
45,3324,3,1,1,1994,32,Waterfront,No,Yes,11.92,10,4.13,51771000
46,3112,3,1,2,1972,54,Waterfront,No,Yes,18.33,4,2.42,46400000
47,1863,3,2,1,2016,10,Suburb,Yes,Yes,5.12,4,7.25,18689000
48,1978,6,1,3,2008,18,Uptown,Yes,Yes,18.4,9,1.39,27283000
49,3056,6,4,3,2013,13,Downtown,Yes,Yes,34.2,2,6.77,43900000
50,1275,5,1,2,2013,13,Waterfront,No,Yes,23.46,5,8.36,22889000
51,4514,1,2,3,1969,57,Waterfront,Yes,Yes,3.62,4,2.34,66998000
52,534,5,4,3,2012,14,Uptown,Yes,Yes,8.07,9,8.59,12263000
53,3652,5,1,2,2003,23,Suburb,Yes,No,19.24,5,0.43,35144000
54,2455,6,3,3,2006,20,Downtown,Yes,No,14.78,9,9.05,37382000
55,2085,3,4,3,2012,14,Suburb,Yes,Yes,14.67,9,1.26,23911000
56,4443,2,4,3,1969,57,Suburb,Yes,No,21.41,2,6.43,41867000
57,3573,1,3,1,2005,21,Downtown,Yes,Yes,23.58,9,2.55,48512000
58,1521,6,3,2,1972,54,Downtown,Yes,No,31.98,3,8.3,23154000
59,3961,3,4,2,1996,30,Waterfront,Yes,No,13.97,4,5.12,61143000
60,3113,2,3,2,1997,29,Waterfront,Yes,No,32.32,1,1.43,47043000
61,4343,2,2,1,1983,43,Downtown,Yes,No,13.88,1,5.7,56888000
62,2000,6,2,1,1961,65,Rural,Yes,Yes,2.69,1,4.1,14700000
63,5298,4,2,2,1981,45,Waterfront,Yes,Yes,22.39,9,6.58,81740000
64,661,1,4,1,1976,50,Rural,No,No,23.72,8,8.74,5361000
65,4797,2,3,2,1995,31,Downtown,No,Yes,37.41,5,4.11,62044000
66,2481,6,3,1,1973,53,Waterfront,No,Yes,29.18,5,2.94,40395000
67,1495,6,1,3,1969,57,Suburb,Yes,No,36.75,9,0.24,17054000
68,5411,3,1,3,1994,32,Downtown,Yes,No,36.38,3,5.73,70112000
69,3842,4,3,2,1984,42,Uptown,Yes,No,24.38,3,4.04,44608000
70,5051,1,3,1,1962,64,Rural,Yes,Yes,21.35,7,3.77,32617000
71,4298,5,3,1,2006,20,Downtown,Yes,No,22.52,9,1.89,58462000
72,1775,3,4,3,1997,29,Downtown,No,Yes,39.14,6,4.31,26314000
73,1516,2,3,3,1976,50,Waterfront,Yes,Yes,31.04,2,9.75,21555000
74,837,2,1,1,1971,55,Waterfront,Yes,No,4.7,1,3.02,12015000
75,1378,3,4,1,2013,13,Waterfront,No,Yes,31.25,2,5.98,22396000
76,1576,6,3,1,2011,15,Uptown,No,Yes,7.24,1,7.71,20350000
77,5387,2,1,1,1983,43,Waterfront,No,No,18.17,10,7.44,79428000
78,4493,4,4,1,1988,38,Downtown,Yes,Yes,8.81,10,3.32,62507000
79,5359,1,3,1,2002,24,Waterfront,Yes,Yes,27.74,9,6.09,80338000
80,879,4,3,2,1984,42,Suburb,Yes,Yes,35.15,10,8.64,9772000
81,992,2,3,1,1995,31,Waterfront,Yes,Yes,11.97,8,0.25,18522000
82,2562,5,4,3,2017,9,Uptown,Yes,Yes,3.74,7,4.37,34389000
83,4384,1,1,2,2019,7,Suburb,Yes,No,12.29,3,2.3,40923000
84,564,1,1,1,1985,41,Downtown,No,No,27.06,8,3.91,7960000
85,3068,3,2,3,1997,29,Downtown,Yes,Yes,13.49,2,4.18,41348000
86,2527,3,3,2,1960,66,Rural,No,No,11.49,2,7.42,16357000
87,3195,5,2,3,1979,47,Suburb,No,Yes,7.79,10,1.02,33650000
88,1995,6,2,1,2014,12,Rural,Yes,Yes,20.15,3,5.12,13842000
89,891,1,1,1,1987,39,Suburb,No,No,11.4,7,5.63,8831000
90,5014,5,4,1,1975,51,Suburb,Yes,Yes,29.37,1,4.94,48270000
91,4974,3,4,1,2006,20,Uptown,Yes,No,3.53,8,7.27,57040000
92,4061,3,1,2,1976,50,Rural,No,Yes,26.73,7,3.86,26516000
93,2778,1,4,2,1999,27,Uptown,Yes,No,9.88,4,9.36,33038000
94,3599,4,2,3,1987,39,Suburb,No,Yes,19.83,5,4.82,35523000
95,700,2,3,1,2017,9,Downtown,Yes,Yes,11.8,10,5.7,13630000
96,5375,3,1,3,1971,55,Suburb,Yes,Yes,29.05,1,8.19,49775000
97,3604,6,3,2,1986,40,Uptown,Yes,No,37.84,4,2.8,44011000
98,5098,6,4,1,2013,13,Rural,Yes,No,36.72,1,0.84,34774000
99,2954,3,3,1,2012,14,Rural,Yes,No,23.55,1,7.04,19593000
100,4145,4,4,2,2001,25,Uptown,Yes,Yes,18.77,10,4.83,50788000
101,1304,4,4,2,2018,8,Rural,No,Yes,32.82,1,8.89,9754000
102,3231,5,2,2,2006,20,Waterfront,No,Yes,27.49,7,9.73,50260000
103,3273,6,4,2,1989,37,Downtown,Yes,No,7.75,7,4.01,47774000
104,2070,5,2,2,2000,26,Downtown,No,No,32.93,4,4.17,29526000
105,3190,6,2,1,1993,33,Downtown,No,Yes,17.44,2,4.1,43927000
106,4340,2,2,2,1996,30,Rural,No,No,7.96,3,3.28,28155000
107,1528,2,1,1,1965,61,Rural,Yes,Yes,11.63,8,7.76,10025000
108,1002,1,1,1,1966,60,Suburb,Yes,No,11.07,8,7.54,10577000
109,4993,5,4,2,1991,35,Suburb,No,No,21.01,6,4.79,48201000
110,1370,3,2,2,1991,35,Downtown,Yes,Yes,9.76,10,0.54,21916000
111,4988,5,1,1,2012,14,Waterfront,No,Yes,5.38,9,3.13,77668000
112,706,3,2,2,1984,42,Suburb,Yes,No,5.39,9,2.96,10155000
113,1984,4,3,2,1992,34,Suburb,Yes,No,23.54,4,8.05,20647000
114,1363,5,3,2,2014,12,Rural,Yes,No,29.52,1,0.96,10641000
115,3290,4,3,3,2017,9,Waterfront,Yes,No,13.2,1,8.0,51968000
116,1063,2,4,1,1966,60,Downtown,Yes,Yes,1.87,10,6.66,17655000
117,4691,2,2,3,2011,15,Suburb,No,No,5.53,5,7.28,43807000
118,2257,1,3,2,2016,10,Waterfront,Yes,No,36.63,2,4.34,32618000
119,2178,5,1,3,2021,5,Waterfront,No,No,19.99,6,6.76,36687000
120,3742,4,3,2,1971,55,Downtown,No,Yes,18.42,7,6.07,50382000
121,5136,3,3,3,1975,51,Waterfront,Yes,Yes,2.0,1,7.64,77806000
122,1559,2,3,2,1975,51,Waterfront,No,Yes,29.28,6,4.48,24741000
123,2222,2,4,3,2002,24,Waterfront,No,Yes,21.36,8,4.73,36727000
124,3814,3,1,3,2012,14,Suburb,No,Yes,8.48,5,6.41,36552000
125,3657,4,2,3,1995,31,Downtown,No,Yes,4.85,7,1.16,51069000
126,3125,4,1,1,1972,54,Waterfront,No,Yes,15.64,10,4.38,48001000
127,3229,5,2,3,1966,60,Waterfront,Yes,Yes,33.57,6,9.63,49533000
128,2097,5,4,1,1995,31,Suburb,Yes,No,34.68,4,0.47,22607000
129,3560,6,4,2,2006,20,Downtown,No,Yes,24.31,7,3.2,52366000
130,3193,6,4,3,2010,16,Rural,Yes,Yes,29.24,10,3.18,25228000
131,5391,1,4,2,1968,58,Suburb,Yes,Yes,5.05,9,6.31,51282000
132,4127,2,2,2,1991,35,Downtown,Yes,Yes,23.73,10,1.14,56670000
133,1863,5,3,3,1970,56,Waterfront,No,No,26.85,10,6.26,31875000
134,2481,4,2,1,1967,59,Downtown,Yes,Yes,8.43,7,1.03,34627000
135,2163,3,1,3,1992,34,Downtown,No,No,35.27,5,1.03,30574000
136,2029,4,4,2,1982,44,Downtown,Yes,No,8.2,7,7.24,30846000
137,2538,2,4,2,1984,42,Rural,Yes,No,12.88,3,3.28,16609000
138,3802,6,1,3,2015,11,Downtown,Yes,No,25.01,2,9.68,52834000
139,2737,4,2,1,1967,59,Rural,Yes,No,25.71,5,0.47,18310000
140,1806,1,3,1,2004,22,Waterfront,No,No,28.13,4,4.46,26627000
141,4529,2,3,2,1981,45,Rural,No,Yes,4.92,5,1.21,31094000
142,3175,6,1,2,2018,8,Waterfront,No,Yes,34.05,8,3.54,52406000
143,1782,3,3,1,1963,63,Waterfront,Yes,No,21.55,4,9.88,26356000
144,1209,6,2,3,1999,27,Rural,Yes,Yes,19.12,9,8.81,12043000
145,5244,1,2,2,1962,64,Suburb,No,Yes,39.25,7,0.57,48281000
146,4913,2,1,1,1988,38,Uptown,No,No,29.74,10,5.62,53544000
147,4248,3,2,2,2000,26,Downtown,Yes,No,5.16,7,6.45,57282000
148,5279,1,4,3,1988,38,Uptown,Yes,Yes,30.38,8,2.15,61066000
149,1163,6,1,1,1993,33,Downtown,Yes,No,4.26,6,1.52,19030000
150,2498,1,2,2,1993,33,Downtown,No,Yes,1.59,8,8.96,34763000
151,3945,2,1,3,1987,39,Waterfront,Yes,No,16.44,3,9.59,58456000
152,4243,5,3,2,1972,54,Downtown,Yes,Yes,39.75,10,9.82,57742000
153,1995,1,2,3,1974,52,Downtown,Yes,Yes,7.41,10,7.84,28098000
154,3804,1,4,3,2019,7,Rural,No,No,27.07,1,6.6,26137000
155,4263,6,2,1,1982,44,Uptown,Yes,Yes,7.35,6,3.49,52407000
156,2353,6,1,3,2003,23,Rural,Yes,No,29.13,1,1.78,16653000
157,5159,3,1,2,1985,41,Downtown,Yes,Yes,20.46,9,0.87,69167000
158,1791,6,2,3,1963,63,Waterfront,Yes,Yes,27.36,2,6.89,31064000
159,4081,4,4,3,1985,41,Rural,Yes,No,8.51,2,7.79,27460000
160,3957,2,4,1,1999,27,Rural,No,Yes,29.95,7,8.2,26399000
161,2136,2,4,3,1968,58,Suburb,No,Yes,39.83,2,9.05,20424000
162,4196,5,1,3,2014,12,Downtown,No,Yes,26.79,10,8.72,56185000
163,3499,5,2,2,1964,62,Waterfront,No,No,19.99,8,9.9,54475000
164,3652,2,3,1,2015,11,Rural,Yes,No,36.97,6,2.49,23684000
165,1198,5,1,1,1991,35,Rural,No,No,1.13,7,7.58,9641000
166,2660,3,4,1,1979,47,Waterfront,Yes,Yes,29.33,7,5.85,42687000
167,4597,6,2,3,2009,17,Downtown,No,Yes,35.61,6,2.66,61531000
168,5237,2,4,1,1970,56,Suburb,No,Yes,2.94,10,9.72,50147000
169,1354,5,3,3,1974,52,Rural,Yes,No,18.28,9,8.9,12648000
170,3974,2,4,3,1991,35,Suburb,Yes,Yes,8.59,9,1.36,39540000
171,2207,4,4,2,1987,39,Uptown,Yes,No,22.88,7,0.36,28737000
172,3277,1,3,2,1981,45,Downtown,Yes,Yes,26.16,9,6.85,44406000
173,2233,6,2,2,2000,26,Uptown,Yes,No,12.45,10,6.02,28507000
174,5431,2,1,2,1976,50,Uptown,No,No,18.67,3,9.27,59080000
175,4010,1,2,2,2018,8,Uptown,No,No,11.53,3,2.39,45689000
176,702,5,3,3,1985,41,Downtown,Yes,Yes,15.09,1,0.93,14332000
177,3755,1,4,3,2003,23,Downtown,Yes,Yes,6.8,5,2.64,51588000
178,4718,6,2,1,1966,60,Waterfront,Yes,Yes,35.48,4,0.29,71462000
179,4996,2,1,3,2001,25,Suburb,No,Yes,0.9,2,0.45,48116000
180,1266,4,3,3,2016,10,Suburb,Yes,Yes,35.36,9,9.07,15034000
181,4889,5,2,2,1985,41,Waterfront,Yes,No,23.08,3,3.55,73824000
182,2827,2,1,3,1984,42,Waterfront,Yes,Yes,13.6,8,4.13,43900000
183,3431,6,3,2,1969,57,Uptown,Yes,No,29.06,6,0.28,41771000
184,697,5,1,1,2018,8,Waterfront,Yes,No,20.56,5,2.75,13726000
185,2430,3,3,1,2004,22,Rural,No,Yes,20.21,1,7.99,16411000
186,4082,1,4,3,1978,48,Suburb,Yes,No,4.85,4,6.13,38511000
187,1108,6,2,1,1970,56,Waterfront,No,Yes,15.89,3,7.49,20649000
188,3772,3,1,3,1972,54,Rural,Yes,Yes,10.02,1,4.48,23868000
189,1647,2,3,1,2012,14,Rural,No,Yes,1.12,5,3.14,13067000
190,4782,4,1,2,1967,59,Rural,No,No,14.72,6,4.83,32335000
191,3897,5,1,2,1999,27,Rural,Yes,Yes,4.05,2,3.27,25875000
192,3011,1,2,2,1963,63,Uptown,Yes,Yes,10.64,3,8.32,31891000
193,2294,5,4,2,2006,20,Rural,Yes,No,4.15,6,3.02,19268000
194,1159,2,1,3,1990,36,Uptown,No,Yes,4.49,4,6.57,13748000
195,3311,5,3,1,1987,39,Uptown,Yes,No,8.36,9,1.44,43156000
196,1869,1,3,3,1970,56,Rural,No,No,39.99,5,6.83,10530000
197,2486,2,4,2,2002,24,Suburb,Yes,No,0.59,4,9.05,25126000
198,646,5,3,3,1960,66,Rural,No,Yes,25.73,2,6.06,5730000
199,3719,4,4,1,2008,18,Rural,No,Yes,6.08,6,5.59,26041000
200,3411,6,3,3,2006,20,Rural,No,Yes,36.86,10,9.52,24769000
201,2234,2,2,1,2011,15,Suburb,Yes,Yes,4.2,2,6.25,22441000
202,2343,6,1,3,1997,29,Downtown,Yes,Yes,38.22,7,2.64,34378000
203,988,2,2,1,1983,43,Downtown,No,Yes,24.63,3,2.97,12734000
204,3476,4,1,1,2013,13,Uptown,Yes,No,0.55,9,7.01,42353000
205,2459,6,1,2,2019,7,Uptown,Yes,No,35.81,5,7.31,30472000
206,2885,3,1,1,2016,10,Suburb,Yes,Yes,21.11,8,3.07,28850000
207,3419,1,2,2,2006,20,Waterfront,Yes,Yes,10.88,6,3.48,52825000
208,5236,3,1,2,1990,36,Downtown,Yes,Yes,30.81,10,9.81,68949000
209,2302,5,2,2,2000,26,Uptown,Yes,Yes,37.1,8,1.1,28670000
210,4561,4,4,3,2005,21,Downtown,Yes,No,19.61,3,4.07,62698000
211,3869,3,3,3,2009,17,Suburb,No,No,12.96,3,0.71,37360000
212,762,2,3,3,1985,41,Suburb,No,No,31.66,5,8.15,8390000
213,1123,5,1,3,2008,18,Waterfront,No,No,27.43,10,1.0,21998000
214,1516,5,2,1,2009,17,Waterfront,No,No,35.61,3,6.71,25049000
215,4143,3,3,1,1964,62,Suburb,Yes,No,27.85,8,0.65,39234000
216,5476,3,2,3,1979,47,Uptown,Yes,Yes,10.12,10,6.69,63483000
217,2549,4,2,1,2011,15,Downtown,Yes,No,37.3,8,8.36,34383000
218,4223,1,1,1,2000,26,Rural,Yes,Yes,4.64,2,4.01,27616000
219,5048,3,3,2,1970,56,Waterfront,No,Yes,11.08,4,5.22,76533000
220,3608,3,1,2,2015,11,Rural,Yes,Yes,21.05,10,4.04,25544000
221,4590,6,1,2,2013,13,Uptown,Yes,Yes,22.85,1,3.04,53638000
222,2556,2,3,2,1992,34,Waterfront,Yes,No,1.1,4,7.97,41320000
223,3670,6,3,1,2009,17,Rural,Yes,Yes,31.33,4,2.77,26811000
224,2182,6,4,3,1997,29,Uptown,No,Yes,14.78,10,7.18,30422000
225,2755,5,4,1,1986,40,Downtown,Yes,Yes,16.55,9,2.12,41488000
226,1654,1,2,1,1993,33,Uptown,No,No,32.47,3,2.55,18339000
227,4999,2,3,1,1974,52,Waterfront,Yes,Yes,15.48,2,3.4,75151000
228,3691,4,4,2,1991,35,Suburb,Yes,No,2.37,9,5.87,37335000
229,2196,4,2,2,2020,6,Downtown,No,No,7.47,9,4.55,33656000
230,4491,3,2,2,2017,9,Rural,Yes,No,38.26,1,7.4,29421000
231,5223,3,2,3,1980,46,Waterfront,No,No,3.28,6,2.19,79279000
232,5182,4,4,1,2005,21,Suburb,No,Yes,14.52,10,0.2,51114000
233,2148,3,3,3,1964,62,Uptown,No,Yes,20.38,8,7.71,26024000
234,1945,1,1,2,1965,61,Suburb,No,No,19.98,3,8.15,16172000
235,4699,6,2,3,1997,29,Waterfront,Yes,Yes,0.66,9,0.68,77280000
236,4423,3,4,1,2021,5,Waterfront,No,Yes,20.3,2,6.09,67281000
237,753,5,4,1,1981,45,Suburb,Yes,No,15.66,6,3.81,10585000
238,3683,3,1,2,2021,5,Uptown,No,Yes,38.9,1,7.88,41434000
239,3057,2,1,2,1977,49,Suburb,No,No,6.79,7,8.67,28604000
240,598,1,4,3,1973,53,Waterfront,No,Yes,14.49,3,8.44,11405000
241,2700,2,3,2,1969,57,Waterfront,No,No,17.07,7,7.72,40563000
242,3461,2,1,2,2005,21,Rural,Yes,No,15.93,4,2.74,22324000
243,5473,5,4,1,1972,54,Rural,No,No,26.8,9,8.06,36282000
244,4933,1,1,2,1990,36,Downtown,Yes,Yes,9.01,5,5.33,61805000
245,4277,1,3,2,1989,37,Waterfront,No,No,9.23,3,0.62,64551000
246,3369,1,2,1,1962,64,Rural,No,No,29.3,8,4.58,20540000
247,3734,1,1,1,1989,37,Suburb,Yes,Yes,20.26,6,9.33,33659000
248,4291,1,3,3,1965,61,Uptown,Yes,Yes,16.9,2,8.8,47686000
249,1456,5,4,2,1988,38,Suburb,Yes,No,7.18,3,1.1,17403000
250,4567,3,1,1,1967,59,Uptown,No,No,7.91,8,7.39,50570000
251,660,2,1,3,2003,23,Rural,Yes,Yes,0.92,10,8.0,5136000
252,4993,1,4,3,2004,22,Downtown,Yes,No,4.11,7,2.76,68299000
253,1800,3,2,2,2002,24,Suburb,Yes,Yes,22.5,10,4.72,19962000
254,5411,3,4,2,2003,23,Suburb,No,Yes,35.73,6,7.07,52437000
255,4487,2,1,3,1992,34,Suburb,Yes,No,11.84,1,4.4,41193000
256,2027,5,4,1,1976,50,Uptown,Yes,No,13.45,9,1.21,26098000
257,1718,4,3,3,2007,19,Rural,Yes,No,5.07,3,7.02,14089000
258,4996,4,4,2,1970,56,Suburb,Yes,No,15.85,5,9.03,47507000
259,5235,3,1,1,1972,54,Suburb,Yes,Yes,1.97,7,6.49,49780000
260,3604,6,4,1,2009,17,Downtown,Yes,Yes,36.75,7,7.68,52028000
261,3235,6,2,3,1970,56,Downtown,Yes,Yes,27.09,3,3.61,45399000
262,5055,2,4,2,1990,36,Rural,No,No,39.63,4,1.9,32869000
263,1454,4,2,3,1987,39,Rural,No,No,35.37,10,6.4,11025000
264,5065,3,3,3,2003,23,Waterfront,Yes,Yes,19.18,7,3.31,77237000
265,3946,5,2,3,1965,61,Downtown,No,Yes,21.03,8,8.53,54363000
266,1545,4,4,1,2000,26,Waterfront,Yes,Yes,8.03,2,1.3,28703000
267,2193,3,1,1,1975,51,Uptown,Yes,No,18.75,9,4.35,26237000
268,3936,3,2,2,1963,63,Waterfront,Yes,Yes,36.17,7,3.99,57903000
269,1062,1,3,2,1994,32,Suburb,Yes,Yes,2.51,8,9.29,11923000
270,2985,5,2,3,2019,7,Waterfront,Yes,No,34.61,6,1.6,49781000
271,3854,1,2,3,2007,19,Rural,Yes,No,13.97,6,0.2,25685000
272,725,2,2,3,2015,11,Uptown,Yes,No,36.03,9,2.43,11606000
273,5393,1,3,2,2023,3,Suburb,No,No,37.66,4,8.14,49121000
274,1459,1,4,1,2018,8,Waterfront,Yes,Yes,27.0,5,2.15,24796000
275,5048,4,2,1,1985,41,Uptown,Yes,No,26.74,9,2.46,57516000
276,3567,6,2,3,2021,5,Uptown,Yes,No,18.38,1,1.37,43475000
277,1315,3,1,3,2016,10,Suburb,Yes,No,33.5,4,7.11,13748000
278,5254,5,3,3,1971,55,Waterfront,Yes,Yes,38.48,7,0.78,80308000
279,5142,1,2,3,1970,56,Uptown,Yes,Yes,31.12,9,3.35,57507000
280,3620,5,3,2,1996,30,Uptown,No,Yes,25.07,10,2.87,42163000
281,516,6,2,1,1984,42,Downtown,Yes,Yes,24.47,6,5.54,10615000
282,1743,6,4,3,1977,49,Uptown,Yes,No,34.05,8,7.26,23953000
283,2705,1,4,2,1978,48,Downtown,No,Yes,21.88,9,5.32,37465000
284,3024,2,2,3,1982,44,Waterfront,Yes,Yes,32.25,10,9.22,46496000
285,1569,1,4,3,2014,12,Waterfront,Yes,Yes,20.6,4,9.42,24665000
286,3944,4,2,1,1997,29,Waterfront,No,Yes,2.97,1,3.64,61251000
287,3065,3,4,3,2013,13,Rural,Yes,Yes,15.67,8,7.72,21573000
288,1560,2,1,1,1977,49,Waterfront,Yes,Yes,18.06,2,7.34,23154000
289,2827,1,1,1,1985,41,Uptown,Yes,Yes,6.09,1,8.85,29860000
290,3920,5,1,1,1965,61,Suburb,Yes,No,4.55,7,4.49,37627000
291,801,2,3,2,1963,63,Downtown,Yes,No,21.65,10,5.3,12177000
292,4776,2,3,2,2003,23,Rural,Yes,Yes,3.86,9,4.17,32969000
293,1106,1,1,1,2010,16,Waterfront,Yes,No,12.47,9,8.43,17736000
294,3670,2,3,3,1988,38,Waterfront,Yes,No,29.91,3,2.35,55696000
295,1199,5,4,1,2018,8,Suburb,No,No,38.6,6,2.45,14112000
296,1639,6,2,3,2020,6,Suburb,Yes,Yes,28.86,7,3.75,18433000
297,690,2,2,1,1993,33,Rural,Yes,Yes,39.71,10,2.36,6118000
298,2800,6,2,3,1976,50,Downtown,Yes,Yes,28.08,9,5.6,39525000
299,1480,5,1,2,2002,24,Waterfront,No,Yes,12.1,2,1.42,25260000
300,3475,1,3,3,2002,24,Rural,Yes,Yes,27.05,8,3.24,23619000
301,1684,3,4,1,2012,14,Uptown,No,No,28.24,7,9.05,20458000
302,3827,2,4,2,1975,51,Uptown,Yes,Yes,15.18,4,4.11,42895000
303,3894,3,1,3,1961,65,Rural,Yes,Yes,1.2,2,7.43,26906000
304,627,5,4,3,1993,33,Waterfront,Yes,No,28.28,8,1.21,17234000
305,2565,2,4,3,2014,12,Rural,Yes,Yes,1.36,5,2.53,20821000
306,2316,6,4,3,1967,59,Waterfront,Yes,No,25.43,6,8.01,39957000
307,1069,4,4,3,1972,54,Suburb,Yes,No,6.96,7,7.58,13046000
308,2395,3,3,2,2001,25,Rural,Yes,No,22.84,10,3.88,17266000
309,3233,2,4,2,1967,59,Waterfront,Yes,No,20.4,1,9.45,47305000
310,4363,3,2,2,1989,37,Rural,No,Yes,1.03,8,9.02,30847000
311,5221,2,1,2,1991,35,Rural,No,No,14.83,4,9.53,33122000
312,4514,1,3,1,1995,31,Waterfront,Yes,No,24.24,9,4.29,68462000
313,3401,6,4,2,2006,20,Waterfront,Yes,No,34.02,1,2.04,55514000
314,2186,3,3,3,1989,37,Downtown,Yes,Yes,35.6,2,6.24,29953000
315,3509,4,4,3,1960,66,Rural,No,No,19.61,6,6.81,22884000
316,654,4,2,2,2002,24,Uptown,Yes,Yes,29.27,10,1.33,11446000
317,3037,5,1,3,1998,28,Rural,No,No,13.0,1,7.81,20698000
318,1909,2,4,2,1976,50,Rural,Yes,Yes,14.02,4,0.28,15080000
319,4557,3,4,3,2018,8,Waterfront,Yes,No,8.18,8,4.83,72410000
320,1284,5,4,1,1979,47,Rural,Yes,No,22.7,10,3.34,10239000
321,3675,3,4,1,1983,43,Rural,No,Yes,12.93,5,7.35,25552000
322,4841,2,1,2,2009,17,Uptown,Yes,Yes,3.83,9,3.17,55793000
323,3306,4,1,2,1981,45,Waterfront,Yes,Yes,27.56,6,8.2,48505000
324,1037,1,2,2,1988,38,Rural,No,No,28.46,1,5.93,6506000
325,2341,4,1,3,1981,45,Suburb,Yes,No,14.72,6,7.88,23785000
326,2955,5,4,2,2003,23,Downtown,No,No,3.53,6,9.8,42076000
327,1024,6,2,1,1968,58,Uptown,Yes,No,17.34,6,6.76,14434000
328,3450,1,2,3,1996,30,Rural,No,No,17.97,8,9.75,22968000
329,4631,5,2,2,1969,57,Suburb,Yes,Yes,26.91,6,0.38,45209000
330,5280,2,4,3,1995,31,Rural,Yes,Yes,12.96,5,3.41,34677000
331,4615,1,3,3,1996,30,Rural,No,No,27.46,2,1.16,30648000
332,2868,5,4,2,1987,39,Waterfront,Yes,Yes,34.92,4,2.67,47730000
333,4347,2,1,3,2023,3,Waterfront,Yes,Yes,9.88,10,8.32,66862000
334,4995,4,1,1,1987,39,Waterfront,Yes,Yes,39.17,5,0.42,73274000
